"BehaviorSpace results (NetLogo 6.3.0)"
"project-upgraded.nlogo"
"upgraded-model-plus-traps-2.9"
"10/30/2022 17:16:22:360 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"yellow-food-percentage","2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"expert-kill-basic-min-energy","101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",
"n-basic-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"n-expert-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"basic-agent-camouflage-percentage","50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",
"trap-percentage","2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","2","0","3","0","1","0","1","0","2","0","1","0","1","0","4","0","1","0","1","0","1","0","1","1","0","0","1","0","4","0","1","0","2","0","1","0","2","0","1"
"[min]","0","2","0","3","0","1","0","1","0","2","0","1","0","1","0","4","0","1","0","1","0","1","0","1","1","0","0","1","0","4","0","1","0","2","0","1","0","2","0","1"
"[max]","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
"[mean]","0.5324675324675324","3.108891108891109","0.5424575424575424","4.887112887112887","0.6513486513486514","1.983016983016983","0.45354645354645357","1.907092907092907","0.4355644355644356","3.2927072927072927","0.43156843156843155","2.998001998001998","0.3696303696303696","2.254745254745255","0.31868131868131866","4.578421578421579","0.4855144855144855","2.786213786213786","0.46853146853146854","3.1698301698301696","0.4965034965034965","1.8801198801198802","1.4705882352941178","3.748663101604278","2.9476439790575917","4.036649214659686","0.781021897810219","3.3454987834549876","0.2647352647352647","5.536463536463536","0.9170829170829171","2.1638361638361636","0.9090909090909091","3.105894105894106","3.3934426229508197","5.532786885245901","0.4435564435564436","3.5004995004995005","0.33766233766233766","2.4645354645354645"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","373","373","190","190","410","410","1000","1000","1000","1000","1000","1000","243","243","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
,"16","18","18","18","18","18","17","18","18","18","17","18","17","18","18","18","16","18","18","18","17","18","18","18","17","18","18","18","15","18","17","18","18","18","18","18","18","18","17","18"
,"15","14","17","16","18","18","16","18","17","18","15","16","17","17","17","18","16","18","15","16","16","18","17","18","16","18","15","16","14","17","17","17","16","18","17","15","18","15","17","18"
,"14","13","15","16","18","17","15","17","17","16","15","15","17","17","15","18","16","18","15","16","15","16","17","17","16","16","15","15","12","17","15","17","15","16","15","15","16","15","15","18"
,"14","13","15","14","16","15","14","17","16","16","13","15","15","17","13","18","16","18","14","16","15","16","15","16","15","16","14","15","11","16","15","16","15","16","15","15","16","14","15","18"
,"14","13","14","14","15","15","13","17","13","16","12","15","15","16","13","18","15","18","14","16","14","13","14","16","13","15","14","14","11","16","15","16","15","15","15","14","15","13","13","18"
,"14","13","13","14","15","13","13","15","13","15","10","15","15","16","13","17","14","18","13","15","14","13","14","15","13","15","14","13","11","16","15","16","15","15","14","14","15","13","12","17"
,"14","13","12","14","15","12","13","15","12","15","10","15","14","16","13","17","13","17","12","13","14","12","13","15","12","15","12","12","10","16","15","15","14","15","13","14","15","11","12","17"
,"13","13","12","14","14","12","13","15","10","15","9","15","14","15","12","16","13","17","12","13","12","12","11","15","12","13","10","12","9","16","15","15","14","15","13","14","15","11","12","17"
,"13","13","12","14","13","12","13","15","10","15","8","15","13","15","12","14","13","17","12","13","11","12","11","13","12","12","10","11","8","16","13","14","14","15","11","13","14","11","12","17"
,"12","12","12","14","13","11","13","15","9","15","7","15","13","15","10","14","13","16","12","13","11","11","11","13","12","11","10","11","8","16","12","14","12","15","11","12","14","11","11","16"
,"12","12","12","13","13","11","11","14","9","15","7","15","12","15","8","14","12","16","10","11","10","11","11","13","11","11","10","11","8","15","12","14","12","15","11","12","14","11","11","16"
,"10","12","12","13","13","10","11","14","9","15","7","15","10","15","8","14","11","15","10","11","9","11","11","13","10","10","9","11","7","15","12","14","11","15","11","12","14","11","11","15"
,"10","11","10","13","13","10","11","14","9","15","7","15","9","15","8","14","11","14","8","11","9","11","11","13","10","10","9","11","7","15","12","14","11","14","10","12","13","11","9","14"
,"8","11","10","13","13","10","11","11","9","14","6","15","8","15","7","14","9","14","7","11","9","11","10","12","10","10","7","11","6","14","12","14","10","13","10","12","13","10","9","14"
,"8","10","10","13","12","10","11","10","9","14","6","15","8","15","7","14","9","14","7","11","7","11","10","11","9","10","7","11","6","14","12","13","10","12","10","12","11","10","8","14"
,"8","10","10","13","12","10","10","10","9","14","6","15","8","15","7","14","8","14","7","11","7","11","10","10","9","9","7","11","6","14","12","13","8","12","10","11","10","10","8","14"
,"8","10","9","13","10","9","10","10","9","13","5","15","8","15","6","14","8","14","7","11","7","11","10","10","9","9","5","11","6","14","12","13","8","12","10","11","10","10","6","14"
,"8","9","9","13","10","8","10","10","8","13","5","15","7","14","6","13","8","14","7","11","6","11","9","9","9","9","5","11","5","14","12","13","8","12","10","10","10","10","6","14"
,"8","9","8","13","10","8","10","10","8","13","4","14","7","14","6","12","8","14","7","11","6","11","7","9","9","9","5","11","5","14","11","13","7","12","10","10","10","9","6","14"
,"8","9","7","12","10","8","9","10","7","13","4","14","7","14","5","12","8","14","7","11","6","11","7","9","9","9","4","11","5","14","10","13","7","12","10","10","10","9","6","14"
,"8","9","6","12","10","7","7","10","7","12","4","14","6","14","5","11","8","14","6","10","6","11","7","9","9","9","3","11","5","14","10","13","7","12","10","10","9","9","6","14"
,"8","9","6","12","10","6","7","10","6","12","4","14","6","11","5","11","8","14","6","10","5","9","7","8","9","9","3","11","4","13","10","13","7","12","9","10","8","9","6","14"
,"8","9","6","12","9","6","7","10","6","12","4","14","6","11","5","11","7","14","6","9","5","9","7","8","9","9","3","11","4","13","10","12","7","12","9","10","8","9","5","14"
,"7","8","6","11","9","6","6","9","5","12","4","14","6","11","5","11","6","14","6","9","5","9","6","8","9","8","3","11","4","13","10","12","7","12","9","10","8","9","4","14"
,"7","8","6","11","9","6","6","9","5","12","4","14","6","11","5","11","6","13","6","9","5","9","6","8","9","8","3","11","4","13","10","12","6","12","9","10","8","9","4","13"
,"7","8","6","11","9","5","5","9","5","12","4","14","5","11","4","11","6","13","6","9","5","9","6","8","9","8","3","11","4","13","9","12","6","10","9","10","8","9","4","13"
,"7","8","6","11","9","5","3","9","5","12","4","14","4","11","4","11","6","13","6","9","4","9","6","8","9","8","3","11","4","13","9","12","6","9","8","10","8","9","3","13"
,"7","8","6","11","9","5","3","9","5","11","4","14","3","11","4","11","6","13","6","9","4","9","6","8","9","8","3","10","4","13","9","12","6","9","8","10","8","8","2","13"
,"6","8","6","11","8","5","3","9","5","11","4","14","3","11","4","11","5","13","5","9","4","9","6","7","9","7","3","10","4","13","9","12","6","9","8","10","8","8","2","13"
,"6","8","6","11","8","5","3","9","5","11","4","14","3","11","4","11","4","13","4","9","4","9","6","7","9","7","2","10","3","13","9","12","6","9","8","10","7","8","2","12"
,"6","8","6","11","7","4","3","9","5","11","3","14","3","11","4","11","4","13","4","9","4","9","6","7","9","7","2","10","3","13","9","12","6","9","8","10","7","8","2","12"
,"6","8","6","11","6","4","3","9","5","11","2","13","3","11","4","11","4","12","4","9","4","9","6","7","9","7","2","10","3","13","9","12","5","8","8","9","5","8","2","12"
,"5","8","6","11","6","4","3","9","4","11","2","13","3","11","4","11","4","12","4","9","4","9","6","7","8","7","2","10","2","13","9","12","5","8","8","9","5","8","2","11"
,"5","7","6","11","6","4","3","9","4","11","2","13","3","11","4","11","4","11","4","9","4","9","6","7","8","7","1","10","2","13","9","12","5","7","8","9","5","8","2","11"
,"5","7","5","11","6","4","3","9","4","11","2","13","3","11","3","10","4","11","4","9","4","8","6","7","6","7","1","10","2","13","9","12","4","7","8","9","5","8","2","10"
,"4","7","5","11","6","4","3","9","4","11","2","13","3","11","2","10","4","11","4","9","4","8","6","7","5","7","1","10","2","13","9","12","4","7","8","9","5","8","2","10"
,"4","6","5","11","6","4","3","9","4","11","1","13","3","11","2","9","4","11","3","9","4","8","6","7","5","7","1","10","2","13","9","12","4","6","8","9","5","8","2","10"
,"3","6","5","11","5","4","3","9","4","11","1","12","2","11","2","9","4","11","3","9","4","8","6","7","5","7","1","10","2","13","8","12","4","6","8","9","4","8","2","10"
,"3","6","5","11","5","4","3","9","4","11","1","11","2","11","2","9","2","11","3","9","4","8","6","7","5","7","1","9","2","13","7","11","4","6","8","9","4","8","2","10"
,"2","6","5","11","5","4","3","9","3","11","1","11","2","11","2","9","2","10","3","9","4","8","5","7","4","7","1","9","2","13","7","11","4","6","8","9","3","8","2","10"
,"2","6","5","11","5","4","3","9","3","11","1","11","2","11","2","9","2","9","3","9","4","8","5","7","3","7","1","9","2","13","6","11","4","6","8","9","2","8","2","10"
,"2","6","5","11","5","4","3","9","3","11","1","11","2","11","2","9","2","9","3","9","4","8","5","7","3","7","1","9","2","13","6","10","4","6","7","9","2","8","2","10"
,"2","6","5","11","5","4","3","8","3","11","1","11","2","11","2","9","2","9","3","9","4","8","5","7","2","7","1","9","2","13","6","10","4","6","6","9","2","8","2","10"
,"2","6","5","11","4","4","3","7","3","11","1","11","2","10","2","9","2","9","3","9","4","8","5","7","2","7","1","9","2","13","6","10","4","6","6","9","1","8","2","9"
,"2","6","4","11","4","4","3","7","3","11","1","11","2","10","2","9","2","9","3","9","4","8","5","7","2","7","1","9","2","13","6","10","4","6","6","9","1","8","2","9"
,"2","6","4","11","4","4","3","7","3","11","1","11","2","10","2","9","2","9","3","9","4","8","5","7","2","7","1","9","2","13","6","10","4","6","6","9","1","8","2","9"
,"2","6","4","11","4","4","3","7","3","11","1","11","2","10","2","9","2","9","3","9","4","6","5","7","1","7","1","9","1","13","6","10","4","6","5","9","1","8","2","9"
,"2","6","4","11","4","4","3","7","3","11","1","11","2","10","2","9","2","9","3","9","4","6","5","7","1","7","1","9","1","13","6","10","4","6","5","9","1","8","2","9"
,"2","6","4","11","4","4","3","7","3","11","1","11","2","9","2","9","2","9","3","9","4","6","5","7","1","7","1","9","1","13","6","10","4","6","5","9","1","8","2","9"
,"2","6","4","11","3","4","3","7","3","11","1","11","2","9","1","9","2","9","3","9","4","6","5","7","1","7","1","9","0","13","6","10","4","6","5","9","1","8","2","8"
